Time	Person	xcor	ycor
1	0	11	27
1	1	70	36
1	2	71	14
1	3	57	49
1	4	9	50
1	5	14	28
1	6	15	30
1	7	15	35
1	8	27	22
1	9	27	23
1	10	16	21
1	11	13	37
1	12	25	15
1	13	37	14
1	14	28	19
1	15	28	39
1	16	69	17
1	17	55	16
1	18	66	35
1	19	55	26
1	20	56	49
1	21	61	33
1	22	11	19
1	23	12	22
1	24	68	40
1	25	23	29
1	26	19	22
1	27	70	19
1	28	35	37
1	29	25	37
1	30	70	38
1	31	20	48
1	32	55	45
1	33	10	20
1	34	24	22
1	35	29	50
1	36	51	39
1	37	58	50
1	38	56	21
1	39	27	51
1	40	37	16
1	41	13	51
1	42	15	28
1	43	17	27
1	44	17	15
1	45	17	39
1	46	27	51
1	47	31	50
1	48	19	39
1	49	14	41
1	50	67	34
1	51	35	45
1	52	26	48
1	53	23	18
1	54	12	14
1	55	26	15
1	56	13	36
1	57	28	25
1	58	40	39
1	59	41	16
1	60	33	47
1	61	19	46
1	62	11	16
1	63	17	19
1	64	39	15
1	65	57	51
1	66	35	20
1	67	10	22
1	68	25	16
1	69	31	51
1	70	9	37
1	71	35	36
1	72	28	29
1	73	47	40
1	74	10	19
1	75	8	38
1	76	60	36
1	77	37	16
1	78	34	51
1	79	35	26
1	80	57	34
1	81	71	18
2	0	11	27
2	1	70	36
2	2	71	14
2	3	57	49
2	4	9	50
2	5	14	28
2	6	15	30
2	7	15	35
2	8	27	22
2	9	27	23
2	10	16	21
2	11	13	37
2	12	25	15
2	13	37	14
2	14	28	19
2	15	28	39
2	16	69	17
2	17	55	16
2	18	66	35
2	19	55	26
2	20	56	49
2	21	61	33
2	22	11	19
2	23	12	22
2	24	68	40
2	25	23	29
2	26	19	22
2	27	70	19
2	28	35	37
2	29	25	37
2	30	70	38
2	31	20	48
2	32	55	45
2	33	10	20
2	34	24	22
2	35	29	50
2	36	51	39
2	37	58	50
2	38	56	21
2	39	27	51
2	40	37	16
2	41	13	51
2	42	15	28
2	43	17	27
2	44	17	15
2	45	17	39
2	46	27	51
2	47	31	50
2	48	19	39
2	49	14	41
2	50	67	34
2	51	35	45
2	52	26	48
2	53	23	18
2	54	12	14
2	55	26	15
2	56	13	36
2	57	28	25
2	58	40	39
2	59	41	16
2	60	33	47
2	61	19	46
2	62	11	16
2	63	17	19
2	64	39	15
2	65	57	51
2	66	35	20
2	67	10	22
2	68	25	16
2	69	31	51
2	70	9	37
2	71	35	36
2	72	28	29
2	73	47	40
2	74	10	19
2	75	8	38
2	76	60	36
2	77	37	16
2	78	34	51
2	79	35	26
2	80	57	34
2	81	71	18
3	0	11	27
3	1	70	36
3	2	71	14
3	3	57	49
3	4	9	50
3	5	14	28
3	6	15	30
3	7	15	35
3	8	27	22
3	9	27	23
3	10	16	21
3	11	13	37
3	12	25	15
3	13	37	14
3	14	28	19
